select_by;var_mean;var_std;ssim_mean;ssim_std;psnr_mean;psnr_std;ap_mean;ap_std;log_var_mean;log_var_std;log_ssim_mean;log_ssim_std;log_psnr_mean;log_psnr_std;log_ap_mean;log_ap_std;log_loss_mean;log_loss_std;log_time_mean;log_time_std;duration [s];duration [min];duration;it;log_it;training_name
loss;;;;;;;;;;;;;;;;;[0.057600051164627075, 0.042663320899009705, 0.04878033697605133, 0.0468389168381691, 0.09057077765464783, 0.07049394398927689, 0.045983489602804184, 0.04481455311179161, 0.0482122041285038, 0.05134129896759987, 0.06803736090660095, 0.04229596257209778, 0.04122627153992653, 0.05584793910384178, 0.056037627160549164, 0.05725109949707985, 0.03641609475016594, 0.03373520448803902, 0.04773658886551857, 0.030375031754374504, 0.039038825780153275, 0.029922083020210266, 0.03975943848490715, 0.04021380841732025, 0.07104680687189102, 0.043585147708654404];[0.0, 0.0, 0.0, 3.725290298461914e-09, 0.0, 0.0, 3.725290298461914e-09, 0.0, 3.725290298461914e-09, 3.725290298461914e-09, 0.0, 0.0, 3.725290298461914e-09, 3.725290298461914e-09, 3.725290298461914e-09, 0.0, 0.0, 0.0, 3.725290298461914e-09, 1.862645149230957e-09, 0.0, 0.0, 0.0, 0.0, 0.0, 3.725290298461914e-09];[60.87818145751953, 110.68280029296875, 117.52044677734375, 124.30717468261719, 130.46319580078125, 136.98065185546875, 141.8765106201172, 148.28453063964844, 154.6754913330078, 161.8357696533203, 168.52392578125, 175.307861328125, 181.81980895996094, 188.55313110351562, 195.10231018066406, 201.53880310058594, 207.5771484375, 214.65989685058594, 220.87452697753906, 227.45285034179688, 233.44558715820312, 238.70274353027344, 243.41172790527344, 248.15771484375, 253.90432739257812, 260.9720764160156];[7.62939453125e-06, 0.0, 0.0, 7.62939453125e-06, 0.0, 0.0, 0.0, 1.52587890625e-05, 0.0, 0.0, 0.0, 0.0, 1.52587890625e-05, 1.52587890625e-05, 0.0, 1.52587890625e-05, 0.0, 0.0, 1.52587890625e-05, 3.0517578125e-05, 1.52587890625e-05, 1.52587890625e-05, 0.0, 0.0, 1.52587890625e-05, 0.0];260.9747095108032;4.34957849184672;0h 4m 20.97s;205;[0, 20, 40, 60, 80, 100, 120, 140, 160, 180, 200, 220, 240, 260, 280, 300, 320, 340, 360, 380, 400, 420, 440, 460, 480, 500];select_by=loss
mean_var;0.012092548073269375;0.002729076359117148;0.785292737185955;0.08314698676726273;22.529594659805298;2.170489797000031;0.2871193950995803;0.15478019230509674;[0.021299012005329132, 0.019186606630682945, 0.024531999602913857, 0.03077075630426407, 0.029554855078458786, 0.02451346069574356, 0.018937600776553154, 0.027072900906205177, 0.02214573696255684, 0.01610100083053112, 0.016504665836691856, 0.01998979225754738, 0.01481352373957634, 0.021323632448911667, 0.014345558360219002, 0.012092549353837967, 0.015127699822187424, 0.014191387221217155, 0.014221221208572388, 0.012460866943001747, 0.01458516251295805, 0.01714027114212513];[0.007865935564041138, 0.0039026658050715923, 0.00080414506373927, 0.01599411480128765, 0.006208260543644428, 0.005243037827312946, 0.005807655863463879, 0.005632472690194845, 0.004386691842228174, 0.0033844513818621635, 0.0032111762557178736, 0.00488879531621933, 0.0025227947626262903, 0.00196977611631155, 0.0020542799029499292, 0.0025528171099722385, 0.002518237102776766, 0.002401287667453289, 0.002883601700887084, 0.0012845707824453712, 0.004244842566549778, 0.005877246148884296];[0.381288081407547, 0.46899622678756714, 0.41246742010116577, 0.4190274178981781, 0.4916442930698395, 0.6228656768798828, 0.6230435371398926, 0.5807703137397766, 0.6294626593589783, 0.7244197726249695, 0.5962928533554077, 0.6928563714027405, 0.7647480964660645, 0.6822443604469299, 0.7895459532737732, 0.7852927446365356, 0.7230491638183594, 0.8569409251213074, 0.8253470063209534, 0.854742705821991, 0.819388747215271, 0.6412104368209839];[0.04387108236551285, 0.04700283706188202, 0.10631021857261658, 0.06951449811458588, 0.08697996288537979, 0.11036720126867294, 0.15449956059455872, 0.11436271667480469, 0.07382209599018097, 0.14282824099063873, 0.17127583920955658, 0.1595878303050995, 0.11061183363199234, 0.09570399671792984, 0.07305586338043213, 0.07777688652276993, 0.10817468911409378, 0.055712297558784485, 0.05466853454709053, 0.053232431411743164, 0.13455967605113983, 0.1771545261144638];[15.008776664733887, 16.601482391357422, 15.542218208312988, 15.025307655334473, 15.861837387084961, 18.31682586669922, 18.67031478881836, 17.17084503173828, 18.04340362548828, 21.012989044189453, 19.022783279418945, 20.08083152770996, 21.557409286499023, 19.301599502563477, 22.171497344970703, 22.52959442138672, 20.65264129638672, 24.124143600463867, 23.233489990234375, 24.347219467163086, 23.4912109375, 19.215513229370117];[0.274265855550766, 0.7907375693321228, 1.0029380321502686, 1.8434807062149048, 0.6496976613998413, 1.4568603038787842, 3.3199057579040527, 2.0525612831115723, 1.1290078163146973, 2.682375431060791, 2.0085501670837402, 3.0883350372314453, 2.4481430053710938, 1.1036416292190552, 1.753853678703308, 2.0303072929382324, 2.4121079444885254, 1.5423532724380493, 1.5425587892532349, 1.5871868133544922, 3.6482012271881104, 3.3000829219818115];[1.464182734489441, 1.0183974504470825, 1.3548712730407715, 1.5890469551086426, 1.2368547916412354, 0.7227084636688232, 0.8257989287376404, 0.9826443791389465, 0.7472736239433289, 0.460581511259079, 0.6717626452445984, 0.5962367653846741, 0.3971259593963623, 0.5821450352668762, 0.2988226115703583, 0.28711938858032227, 0.4647633135318756, 0.18691138923168182, 0.22526994347572327, 0.18129949271678925, 0.33694058656692505, 0.8136972188949585];[0.2993912696838379, 0.21890753507614136, 0.5348467826843262, 0.6582669019699097, 0.3965780436992645, 0.28066396713256836, 0.6437826156616211, 0.5114036202430725, 0.24479436874389648, 0.36025065183639526, 0.40507468581199646, 0.495132178068161, 0.29366588592529297, 0.25069260597229004, 0.12781748175621033, 0.144783616065979, 0.2844562828540802, 0.06871239095926285, 0.06478556990623474, 0.07618582248687744, 0.3755872845649719, 0.8153761029243469];[0.04788403958082199, 0.04906412959098816, 0.10035806894302368, 0.07777527719736099, 0.049491122364997864, 0.042975153774023056, 0.05230632796883583, 0.050814513117074966, 0.06264858692884445, 0.04298490658402443, 0.0446743406355381, 0.05739725008606911, 0.051398567855358124, 0.05864396318793297, 0.03805917873978615, 0.03320855274796486, 0.04703101888298988, 0.028841791674494743, 0.04010195657610893, 0.02984227053821087, 0.037873774766922, 0.04028027877211571];[3.725290298461914e-09, 0.0, 0.0, 0.0, 0.0, 0.0, 3.725290298461914e-09, 0.0, 7.450580596923828e-09, 0.0, 3.725290298461914e-09, 3.725290298461914e-09, 7.450580596923828e-09, 3.725290298461914e-09, 3.725290298461914e-09, 0.0, 3.725290298461914e-09, 0.0, 0.0, 1.862645149230957e-09, 0.0, 0.0];[121.73363494873047, 130.99049377441406, 140.82838439941406, 150.90501403808594, 160.4354248046875, 170.0828857421875, 179.98434448242188, 189.93783569335938, 199.95436096191406, 209.50047302246094, 217.88772583007812, 225.3099365234375, 232.59976196289062, 241.08168029785156, 251.56613159179688, 262.0077819824219, 271.6205749511719, 280.6509704589844, 290.4062805175781, 299.3943786621094, 308.9428405761719, 318.0544738769531];[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.52587890625e-05, 1.52587890625e-05, 0.0, 0.0, 3.0517578125e-05, 0.0, 1.52587890625e-05, 0.0, 1.52587890625e-05, 3.0517578125e-05, 3.0517578125e-05, 0.0, 0.0, 0.0, 0.0, 0.0];341.6289966106415;5.693816610177358;0h 5m 41.63s;340;[40, 60, 80, 100, 120, 140, 160, 180, 200, 220, 240, 260, 280, 300, 320, 340, 360, 380, 400, 420, 440, 460];select_by=mean_var
